"filename", "language", "XML", "C#", "comment", "blank", "total"
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRAsteroid.cs", "C#", 0, 92, 33, 17, 142
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DREntity.cs", "C#", 0, 57, 18, 12, 87
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRMusic.cs", "C#", 0, 57, 18, 12, 87
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRScene.cs", "C#", 0, 64, 21, 13, 98
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRSound.cs", "C#", 0, 92, 33, 17, 142
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRThruster.cs", "C#", 0, 57, 18, 12, 87
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRUIForm.cs", "C#", 0, 78, 27, 15, 120
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRUISound.cs", "C#", 0, 71, 24, 14, 109
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DRWeapon.cs", "C#", 0, 85, 30, 16, 131
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/DataTable/DataTableExtension.cs", "C#", 0, 72, 6, 14, 92
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Debugger/ChangeLanguageDebuggerWindow.cs", "C#", 0, 69, 6, 11, 86
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/Constant/Constant.AssetPriority.cs", "C#", 0, 26, 9, 3, 38
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/Constant/Constant.Layer.cs", "C#", 0, 16, 9, 5, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/Constant/Constant.Setting.cs", "C#", 0, 18, 6, 2, 26
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/DataStruct/BuildInfo.cs", "C#", 0, 41, 6, 8, 55
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/DataStruct/ImpactData.cs", "C#", 0, 47, 6, 8, 61
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/DataStruct/PlayInfo.cs", "C#", 0, 18, 0, 4, 22
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/DataStruct/VersionInfo.cs", "C#", 0, 51, 15, 10, 76
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/Enum/CampType.cs", "C#", 0, 13, 27, 8, 48
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Definition/Enum/RelationType.cs", "C#", 0, 10, 21, 5, 36
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableCodeGenerator.cs", "C#", 0, 5, 6, 3, 14
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableGenerator.cs", "C#", 0, 347, 14, 52, 413
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableGeneratorMenu.cs", "C#", 0, 25, 6, 5, 36
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.BooleanProcessor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.ByteProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.CharProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Color32Processor.cs", "C#", 0, 46, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.ColorProcessor.cs", "C#", 0, 46, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.CommentProcessor.cs", "C#", 0, 57, 6, 9, 72
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.DataProcessor.cs", "C#", 0, 32, 6, 9, 47
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.DataProcessorUtility.cs", "C#", 0, 48, 6, 8, 62
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.DateTimeProcessor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.DecimalProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.DoubleProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.GenericDataProcessor.cs", "C#", 0, 31, 6, 5, 42
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.IdProcessor.cs", "C#", 0, 56, 6, 9, 71
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Int16Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Int32Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Int64Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.QuaternionProcessor.cs", "C#", 0, 46, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.RectProcessor.cs", "C#", 0, 46, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.SByteProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.SingleProcessor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.StringProcessor.cs", "C#", 0, 40, 6, 7, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.UInt16Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.UInt32Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.UInt64Processor.cs", "C#", 0, 41, 6, 7, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Vector2Processor.cs", "C#", 0, 44, 6, 7, 57
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Vector3Processor.cs", "C#", 0, 45, 6, 7, 58
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.Vector4Processor.cs", "C#", 0, 46, 6, 7, 59
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/DataTableGenerator/DataTableProcessor.cs", "C#", 0, 417, 6, 76, 499
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/GameFrameworkConfigs.cs", "C#", 0, 19, 6, 6, 31
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Editor/StarForceBuildEventHandler.cs", "C#", 0, 71, 6, 14, 91
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/AccessoryObjectData.cs", "C#", 0, 33, 12, 7, 52
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/AircraftData.cs", "C#", 0, 150, 15, 35, 200
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/ArmorData.cs", "C#", 0, 40, 12, 8, 60
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/AsteroidData.cs", "C#", 0, 80, 6, 16, 102
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/BulletData.cs", "C#", 0, 53, 6, 11, 70
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/EffectData.cs", "C#", 0, 23, 6, 5, 34
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/EntityData.cs", "C#", 0, 58, 18, 11, 87
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/MyAircraftData.cs", "C#", 0, 26, 9, 5, 40
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/TargetableObjectData.cs", "C#", 0, 48, 18, 9, 75
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/ThrusterData.cs", "C#", 0, 30, 9, 6, 45
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityData/WeaponData.cs", "C#", 0, 70, 21, 14, 105
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityExtension.cs", "C#", 0, 79, 10, 19, 108
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Aircraft.cs", "C#", 0, 111, 9, 24, 144
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Armor.cs", "C#", 0, 45, 9, 10, 64
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Asteroid.cs", "C#", 0, 57, 9, 13, 79
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Bullet.cs", "C#", 0, 45, 9, 9, 63
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Effect.cs", "C#", 0, 39, 9, 9, 57
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Entity.cs", "C#", 0, 106, 6, 16, 128
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/MyAircraft.cs", "C#", 0, 71, 6, 14, 91
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/TargetableObject.cs", "C#", 0, 72, 10, 14, 96
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Thruster.cs", "C#", 0, 45, 9, 10, 64
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Entity/EntityLogic/Weapon.cs", "C#", 0, 59, 9, 13, 81
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Game/GameBase.cs", "C#", 0, 82, 7, 15, 104
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Game/GameMode.cs", "C#", 0, 7, 12, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Game/SurvivalGame.cs", "C#", 0, 33, 6, 6, 45
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/HPBar/HPBarComponent.cs", "C#", 0, 99, 6, 20, 125
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/HPBar/HPBarItem.cs", "C#", 0, 95, 6, 20, 121
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/HPBar/HPBarItemObject.cs", "C#", 0, 24, 6, 5, 35
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Localization/XmlLocalizationHelper.cs", "C#", 0, 56, 15, 7, 78
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/CSPacketBase.cs", "C#", 0, 13, 6, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/CSPacketHeader.cs", "C#", 0, 13, 6, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/NetworkChannelHelper.cs", "C#", 0, 197, 46, 38, 281
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/Packet/CSHeartBeat.cs", "C#", 0, 22, 6, 5, 33
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/Packet/SCHeartBeat.cs", "C#", 0, 22, 6, 5, 33
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/PacketBase.cs", "C#", 0, 21, 6, 6, 33
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/PacketHandler/SCHeartBeatHandler.cs", "C#", 0, 20, 6, 4, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/PacketHandlerBase.cs", "C#", 0, 12, 6, 4, 22
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/PacketHeaderBase.cs", "C#", 0, 34, 6, 7, 47
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/PacketType.cs", "C#", 0, 9, 15, 4, 28
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/SCPacketBase.cs", "C#", 0, 13, 6, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Network/SCPacketHeader.cs", "C#", 0, 13, 6, 2, 21
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureBase.cs", "C#", 0, 10, 8, 2, 20
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureChangeScene.cs", "C#", 0, 116, 10, 29, 155
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureCheckResources.cs", "C#", 0, 54, 0, 10, 64
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureCheckVersion.cs", "C#", 0, 136, 10, 28, 174
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureInitResources.cs", "C#", 0, 36, 8, 11, 55
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureLaunch.cs", "C#", 0, 99, 16, 24, 139
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureMain.cs", "C#", 0, 72, 6, 18, 96
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureMenu.cs", "C#", 0, 58, 6, 15, 79
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedurePreload.cs", "C#", 0, 170, 10, 35, 215
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureSplash.cs", "C#", 0, 35, 11, 6, 52
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureUpdateResources.cs", "C#", 0, 226, 0, 43, 269
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureUpdateVersion.cs", "C#", 0, 51, 6, 14, 71
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Procedure/ProcedureVerifyResources.cs", "C#", 0, 62, 0, 15, 77
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Scene/HideByBoundary.cs", "C#", 0, 20, 6, 4, 30
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Scene/ScrollableBackground.cs", "C#", 0, 50, 6, 13, 69
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Sound/SoundExtension.cs", "C#", 0, 136, 6, 26, 168
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/AboutForm.cs", "C#", 0, 61, 8, 15, 84
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/CommonButton.cs", "C#", 0, 61, 6, 16, 83
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/DialogForm.cs", "C#", 0, 170, 6, 41, 217
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/DialogParams.cs", "C#", 0, 62, 42, 13, 117
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/MenuForm.cs", "C#", 0, 57, 6, 13, 76
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/SettingForm.cs", "C#", 0, 156, 6, 43, 205
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/UGuiForm.cs", "C#", 0, 184, 6, 32, 222
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/UGuiGroupHelper.cs", "C#", 0, 33, 13, 8, 54
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/UIExtension.cs", "C#", 0, 144, 7, 26, 177
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/UIFormId.cs", "C#", 0, 11, 21, 6, 38
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/UI/UpdateResourceForm.cs", "C#", 0, 23, 0, 8, 31
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Utility/AIUtility.cs", "C#", 0, 160, 27, 32, 219
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Utility/AssetUtility.cs", "C#", 0, 47, 6, 12, 65
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Utility/LitJsonHelper.cs", "C#", 0, 21, 27, 5, 53
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Utility/WebUtility.cs", "C#", 0, 15, 6, 4, 25
"/Users/hehuan/fork/StarForce/Assets/GameMain/Scripts/Variable/VarPlayInfo.cs", "C#", 0, 18, 0, 4, 22
"Total", "-", 354, 8255, 1403, 1665, 11677
